",""age"",""voters.x"",""voters.y"",""activity"""
1,18,151,5,3.3112582781457
2,19,1118,65,5.81395348837209
3,20,1364,69,5.05865102639296
4,21,1690,105,6.21301775147929
5,22,1974,102,5.16717325227964
6,23,2471,130,5.26102792391744
7,24,2977,139,4.66912999664091
8,25,3598,182,5.05836575875486
9,26,4212,196,4.65337132003799
10,27,4289,201,4.68640708789928
11,28,4443,239,5.3792482556831
12,29,4337,219,5.04957343786027
13,30,4392,238,5.41894353369763
14,31,4588,256,5.57977332170881
15,32,4655,268,5.75725026852846
16,33,4520,257,5.6858407079646
17,34,4695,255,5.43130990415335
18,35,4675,274,5.86096256684492
19,36,4512,258,5.71808510638298
20,37,4428,242,5.46522131887986
21,38,4372,260,5.94693504117109
22,39,4320,223,5.16203703703704
23,40,4108,266,6.47517039922103
24,41,4192,200,4.77099236641221
25,42,3957,209,5.2817791256002
26,43,3974,228,5.73729240060393
27,44,4099,216,5.26957794584045
28,45,4035,180,4.46096654275093
29,46,3864,185,4.78778467908903
30,47,3628,143,3.94156560088203
31,48,3317,131,3.94935182393729
32,49,3237,127,3.92338585109669
33,50,3050,87,2.85245901639344
34,51,3215,131,4.0746500777605
35,52,3135,95,3.03030303030303
36,53,3076,98,3.18595578673602
37,54,3007,81,2.69371466577985
38,55,3029,99,3.26840541432816
39,56,2881,93,3.22804581742451
40,57,2669,58,2.17309853877857
41,58,2718,67,2.46504782928624
42,59,2427,44,1.81293778327153
43,60,2470,55,2.22672064777328
44,61,2313,43,1.85905750108085
45,62,2044,38,1.85909980430528
46,63,1945,48,2.46786632390745
47,64,1895,38,2.00527704485488
48,65,1698,30,1.76678445229682
49,66,1698,37,2.17903415783274
50,67,1531,30,1.95950359242325
51,68,1482,25,1.68690958164642
52,69,1274,20,1.56985871271586
53,70,990,23,2.32323232323232
54,71,996,16,1.60642570281124
55,72,1006,28,2.78330019880716
56,73,988,21,2.12550607287449
57,74,998,22,2.20440881763527
58,75,779,22,2.82413350449294
59,76,775,14,1.80645161290323
60,77,653,21,3.21592649310873
61,78,647,15,2.31839258114374
62,79,529,13,2.45746691871456
63,80,492,13,2.64227642276423
64,81,418,17,4.06698564593301
65,82,442,10,2.26244343891403
66,83,438,6,1.36986301369863
67,84,437,18,4.11899313501144
68,85,356,11,3.08988764044944
69,86,348,10,2.8735632183908
70,87,318,14,4.40251572327044
71,88,239,8,3.34728033472803
72,89,203,8,3.94088669950739
73,91,155,3,1.93548387096774
74,92,128,2,1.5625
75,94,59,3,5.08474576271187
76,95,35,1,2.85714285714286
